neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Kensington,40.647490000000005,-73.97237,Private room,149,1,9,0.21,6,365
Manhattan,Midtown,40.75362,-73.98376999999999,Entire home/apt,225,1,45,0.38,2,355
Manhattan,Harlem,40.809020000000004,-73.9419,Private room,150,3,0,0.0,1,365
Brooklyn,Clinton Hill,40.685140000000004,-73.95976,Entire home/apt,89,1,270,4.64,1,194
Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0
Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220
Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0
Manhattan,Chinatown,40.713440000000006,-73.99037,Entire home/apt,150,1,160,1.33,4,188
Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6
Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39
Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314
Manhattan,Upper West Side,40.79826,-73.96113000000001,Private room,85,2,113,0.91,1,333
Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0
Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46
Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321
Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12
Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21
Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249
Brooklyn,Williamsburg,40.71842,-73.95718000000001,Entire home/apt,299,3,9,0.07,1,0
Brooklyn,Park Slope,40.680690000000006,-73.97706,Private room,130,2,130,1.09,6,347
Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364
Brooklyn,Park Slope,40.680009999999996,-73.97865,Private room,110,2,71,0.61,6,304
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233
Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85
Manhattan,Inwood,40.867540000000005,-73.92639,Private room,80,4,0,0.0,1,0
Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75
Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311
Manhattan,East Village,40.7292,-73.98541999999999,Entire home/apt,180,14,29,0.24,1,67
Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,3,355
Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255
Brooklyn,Greenpoint,40.722190000000005,-73.93762,Private room,55,4,197,1.65,3,284
Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37,3,359
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269
Brooklyn,South Slope,40.668690000000005,-73.9878,Private room,89,4,168,1.41,3,340
Brooklyn,Bedford-Stuyvesant,40.688759999999995,-73.94312,Private room,35,60,0,0.0,1,365
Brooklyn,Bushwick,40.701859999999996,-73.92745,Entire home/apt,85,2,231,1.96,2,22
Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365
Manhattan,Lower East Side,40.714009999999995,-73.98917,Shared room,40,1,214,1.81,4,188
Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,2,96
Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345
Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311
Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273
Manhattan,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,7,97,0.84,1,309
Brooklyn,Prospect-Lefferts Gardens,40.659440000000004,-73.96238000000001,Entire home/apt,150,29,11,0.49,1,95
Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25,1,215
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0
Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251
Manhattan,Upper West Side,40.78635,-73.97008000000001,Entire home/apt,151,2,73,0.63,1,302
Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140
Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234
Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257
Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30
Manhattan,Lower East Side,40.720040000000004,-73.99104,Private room,110,5,19,0.17,1,301
Manhattan,Hell's Kitchen,40.755309999999994,-73.99293,Private room,69,2,289,2.49,2,294
Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320
Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154
Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263
Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,0.12,1,180
Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231
Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297
Brooklyn,Clinton Hill,40.69,-73.96788000000001,Private room,55,7,27,0.23,2,292
Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65,1,191
Brooklyn,Park Slope,40.673429999999996,-73.98338000000001,Entire home/apt,225,3,4,0.16,1,0
Manhattan,East Village,40.726490000000005,-73.97904,Private room,80,1,338,4.72,2,72
Brooklyn,Williamsburg,40.70933,-73.96791999999999,Entire home/apt,275,1,148,1.4,1,362
Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336
Manhattan,East Harlem,40.80164,-73.93921999999999,Entire home/apt,225,4,190,1.64,1,215
Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116
Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88
Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336
Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224
